Model Year;Make;Model;Electric Vehicle Type;Clean Alternative Fuel Vehicle (CAFV) Eligibility;Electric Range
2021;115;ESCAPE;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;38
2022;115;ESCAPE;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;38
2022;115;MUSTANG MACH-E;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2023;115;F-150;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2014;115;FUSION;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;19
2019;115;FUSION;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;26
2021;115;MUSTANG MACH-E;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2022;115;F-150;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2017;115;C-MAX;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;20
2013;115;C-MAX;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;19
2015;115;FOCUS;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;76
2023;115;ESCAPE;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;37
2018;115;FUSION;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;21
2015;115;C-MAX;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;19
2020;115;FUSION;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;26
2012;115;FOCUS;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;76
2014;115;FOCUS;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;76
2023;115;TRANSIT;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2016;115;FOCUS;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;76
2017;115;FOCUS;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;100
2000;115;RANGER;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;58
1998;115;RANGER;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;58
2018;115;FOCUS;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;100
1999;115;RANGER;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;74
2017;116;PRIUS PRIME;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;25
2014;116;RAV4;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;103
